category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0006119	0	1	13	49	oxidative phosphorylation	BP	0	1
GO:0006754	0	1	9	27	ATP biosynthetic process	BP	0	1
GO:0009060	0	1	13	55	aerobic respiration	BP	0	1
GO:0009142	0	1	9	31	nucleoside triphosphate biosynthetic process	BP	0	1
GO:0009145	0	1	9	30	purine nucleoside triphosphate biosynthetic process	BP	0	1
GO:0009201	0	1	9	30	ribonucleoside triphosphate biosynthetic process	BP	0	1
GO:0009206	0	1	9	30	purine ribonucleoside triphosphate biosynthetic process	BP	0	1
GO:0015980	0	1	13	93	energy derivation by oxidation of organic compounds	BP	0	1
GO:0019646	0	1	11	34	aerobic electron transport chain	BP	0	1
GO:0022900	0	1	11	47	electron transport chain	BP	0	1
GO:0022904	0	1	11	37	respiratory electron transport chain	BP	0	1
GO:0042773	0	1	11	34	ATP synthesis coupled electron transport	BP	0	1
GO:0042775	0	1	11	34	mitochondrial ATP synthesis coupled electron transport	BP	0	1
GO:0042776	0	1	8	21	proton motive force-driven mitochondrial ATP synthesis	BP	0	1
GO:0045333	0	1	13	65	cellular respiration	BP	0	1
GO:0015986	2.39387485187366e-12	1	8	22	proton motive force-driven ATP synthesis	BP	1.6218502121444e-09	1
GO:0006950	6.71043484404956e-12	1	36	938	response to stress	BP	4.27888904173513e-09	1
GO:0046034	4.96561716664264e-11	1	10	48	ATP metabolic process	BP	2.99040500480035e-08	1
GO:0009199	2.01285522363339e-10	0.999999999995768	10	53	ribonucleoside triphosphate metabolic process	BP	1.0909675312093e-07	1
GO:0009205	2.01285522363339e-10	0.999999999995768	10	53	purine ribonucleoside triphosphate metabolic process	BP	1.0909675312093e-07	1
GO:0006091	2.57161810926158e-10	0.999999999986062	14	131	generation of precursor metabolites and energy	BP	1.26903330728527e-07	1
GO:0009144	2.57552885242397e-10	0.999999999993663	10	54	purine nucleoside triphosphate metabolic process	BP	1.26903330728527e-07	1
GO:0009141	3.3654608087489e-10	0.99999999998986	10	55	nucleoside triphosphate metabolic process	BP	1.58615631160166e-07	1
GO:1902600	1.32261043620384e-09	0.999999999955783	9	45	proton transmembrane transport	BP	5.97379047018734e-07	1
GO:0006120	2.50169538870774e-09	0.999999999972557	6	16	mitochondrial electron transport, NADH to ubiquinone	BP	1.08473512054368e-06	1
GO:0009152	2.86748312466912e-09	0.999999999890719	9	49	purine ribonucleotide biosynthetic process	BP	1.19551988736205e-06	1
GO:0034097	3.05346025512988e-09	0.999999999682893	16	211	response to cytokine	BP	1.22590774687436e-06	1
GO:0009260	3.22565995662094e-09	0.999999999873894	9	50	ribonucleotide biosynthetic process	BP	1.24879121177753e-06	1
GO:0046390	3.70331508598624e-09	0.999999999851898	9	51	ribose phosphate biosynthetic process	BP	1.38427363903762e-06	1
GO:0006164	1.17690785357021e-08	0.999999999437274	9	57	purine nucleotide biosynthetic process	BP	4.11538101054875e-06	1
GO:0072522	1.17690785357021e-08	0.999999999437274	9	57	purine-containing compound biosynthetic process	BP	4.11538101054875e-06	1
GO:0071222	2.46178416509494e-08	0.999999998701128	9	60	cellular response to lipopolysaccharide	BP	8.33929385925912e-06	1
GO:0009617	3.25677116137792e-08	0.999999995943452	15	270	response to bacterium	BP	1.05502591183149e-05	1
GO:0009165	3.40644897731569e-08	0.999999998122154	9	63	nucleotide biosynthetic process	BP	1.05502591183149e-05	1
GO:1901293	3.40644897731569e-08	0.999999998122154	9	63	nucleoside phosphate biosynthetic process	BP	1.05502591183149e-05	1
GO:0071219	4.01062971646527e-08	0.999999997744605	9	63	cellular response to molecule of bacterial origin	BP	1.2076451701801e-05	1
GO:0009607	6.04294799184526e-08	0.999999989445264	20	474	response to biotic stimulus	BP	1.77042043869196e-05	1
GO:0010033	8.06253210424712e-08	0.999999982352298	27	713	response to organic substance	BP	2.29994336868523e-05	1
GO:0071216	8.6119866768824e-08	0.999999994642977	9	68	cellular response to biotic stimulus	BP	2.3936906558309e-05	1
GO:0071345	8.94903511246216e-08	0.999999988881081	14	198	cellular response to cytokine stimulus	BP	2.42518851547725e-05	1
GO:0032496	9.46899846015617e-08	0.999999992766636	10	90	response to lipopolysaccharide	BP	2.50108869262141e-05	1
GO:0010035	9.69056504521211e-08	0.999999991344299	11	108	response to inorganic substance	BP	2.50108869262141e-05	1
GO:0070887	1.07470246503561e-07	0.999999976577152	26	675	cellular response to chemical stimulus	BP	2.70924993511302e-05	1
GO:0050900	1.17140689214552e-07	0.999999989286306	11	116	leukocyte migration	BP	2.88592061610396e-05	1
GO:0044419	1.578231540214e-07	0.999999970528273	20	496	biological process involved in interspecies interaction between organisms	BP	3.80178442131551e-05	1
GO:0051707	2.17048461396753e-07	0.999999960249196	19	465	response to other organism	BP	4.92912695419296e-05	1
GO:0002237	2.1799489050291e-07	0.999999981635105	10	97	response to molecule of bacterial origin	BP	4.92912695419296e-05	1
GO:0009150	2.18263924170906e-07	0.999999981609921	10	97	purine ribonucleotide metabolic process	BP	4.92912695419296e-05	1
GO:0033993	2.24241090115487e-07	0.999999967340859	15	236	response to lipid	BP	4.93272912150678e-05	1
GO:0009259	2.30595136674401e-07	0.999999980439163	10	98	ribonucleotide metabolic process	BP	4.93272912150678e-05	1
GO:0043207	2.32074894093031e-07	0.999999957290125	19	467	response to external biotic stimulus	BP	4.93272912150678e-05	1
GO:0019693	2.72117046154929e-07	0.999999976458546	10	100	ribose phosphate metabolic process	BP	5.6725938083066e-05	1
GO:0006954	2.84042705296509e-07	0.999999960878576	14	214	inflammatory response	BP	5.80947721776255e-05	1
GO:1901700	3.23650160652628e-07	0.999999939228504	19	389	response to oxygen-containing compound	BP	6.38069677879155e-05	1
GO:0060326	3.23743840252339e-07	0.999999971376424	10	104	cell chemotaxis	BP	6.38069677879155e-05	1
GO:0006163	4.87875236444496e-07	0.999999954779858	10	106	purine nucleotide metabolic process	BP	9.44387064831847e-05	1
GO:0030595	5.4320226955088e-07	0.999999956967943	9	86	leukocyte chemotaxis	BP	0.00010250267401092	1
GO:1901566	5.48446041755846e-07	0.999999902700927	17	328	organonitrogen compound biosynthetic process	BP	0.00010250267401092	1
GO:0010941	6.69216193340906e-07	0.999999873340394	18	363	regulation of cell death	BP	0.000122640791918951	1
GO:0006952	6.78823571507107e-07	0.999999859769909	20	522	defense response	BP	0.000122640791918951	1
GO:0071310	7.28300375913371e-07	0.999999838706988	22	542	cellular response to organic substance	BP	0.000129422558604933	1
GO:0072521	7.50190897847859e-07	0.999999926832208	10	111	purine-containing compound metabolic process	BP	0.000130497735001059	1
GO:0019730	7.58427795670361e-07	0.999999960364145	7	61	antimicrobial humoral response	BP	0.000130497735001059	1
GO:0008219	7.89333581443634e-07	0.999999835619132	20	452	cell death	BP	0.000133693375357015	1
GO:1901564	9.93973474376159e-07	0.999999722805714	36	1318	organonitrogen compound metabolic process	BP	0.000165764191726732	1
GO:0015988	1.39603088231954e-06	1	3	3	energy coupled proton transmembrane transport, against electrochemical gradient	BP	0.000225865294990207	1
GO:0015990	1.39603088231954e-06	1	3	3	electron transport coupled proton transport	BP	0.000225865294990207	1
GO:0051248	1.57803209015089e-06	0.999999765788067	13	209	negative regulation of protein metabolic process	BP	0.000251556880253465	1
GO:0006753	1.63767690861467e-06	0.999999824859754	10	119	nucleoside phosphate metabolic process	BP	0.000253605966991186	1
GO:0009117	1.63767690861467e-06	0.999999824859754	10	119	nucleotide metabolic process	BP	0.000253605966991186	1
GO:0080134	1.71667041151412e-06	0.999999702696881	15	267	regulation of response to stress	BP	0.000262094468462156	1
GO:0006123	2.11521072642321e-06	0.999999973217255	4	12	mitochondrial electron transport, cytochrome c to oxygen	BP	0.000318456726033716	1
GO:0097529	2.24543016313403e-06	0.999999823749895	8	76	myeloid leukocyte migration	BP	0.000333430999566752	1
GO:0006796	2.3210279352862e-06	0.999999460743726	21	531	phosphate-containing compound metabolic process	BP	0.00033999922727706	1
GO:0009628	2.43445423581763e-06	0.999999593447483	14	242	response to abiotic stimulus	BP	0.000351859785550175	1
GO:0006793	2.48944172444274e-06	0.99999941880045	21	533	phosphorus metabolic process	BP	0.000355073003854727	1
GO:0006979	2.67905133148017e-06	0.999999785701279	8	70	response to oxidative stress	BP	0.000377154758873312	1
