category	de_genes
GO:0006119	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
GO:0006754	ENSG00000198712,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
GO:0009060	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
GO:0009142	ENSG00000198712,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
GO:0009145	ENSG00000198712,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
GO:0009201	ENSG00000198712,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
GO:0009206	ENSG00000198712,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
GO:0015980	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
GO:0019646	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198938,ENSG00000212907
GO:0022900	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198938,ENSG00000212907
GO:0022904	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198938,ENSG00000212907
GO:0042773	ENSG00000111775,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198938,ENSG00000212907
