category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0006613	6.50290555587932e-23	1	36	96	cotranslational protein targeting to membrane	BP	9.34402499324299e-19	1
GO:0006614	2.03223405268678e-22	1	35	92	SRP-dependent cotranslational protein targeting to membrane	BP	1.46005855515282e-18	1
GO:0019221	4.99853812226251e-22	1	72	520	cytokine-mediated signaling pathway	BP	2.39413314262633e-18	1
GO:0044419	7.11341879113545e-22	1	128	1446	interspecies interaction between organisms	BP	2.55531786524563e-18	1
GO:0034097	4.88109404636205e-21	1	90	818	response to cytokine	BP	1.25164921484796e-17	1
GO:0071345	5.2264564611927e-21	1	86	753	cellular response to cytokine stimulus	BP	1.25164921484796e-17	1
GO:0045047	2.67378217481666e-20	1	35	107	protein targeting to ER	BP	5.48851086713437e-17	1
GO:0072599	5.13752340368896e-20	1	35	110	establishment of protein localization to endoplasmic reticulum	BP	9.22763422345083e-17	1
GO:0006413	4.91699866778929e-19	1	41	178	translational initiation	BP	7.85026153971825e-16	1
GO:0000184	1.05004693405256e-18	1	34	115	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	1.50881243954013e-15	1
GO:0070972	1.63658871232672e-18	1	36	134	protein localization to endoplasmic reticulum	BP	2.13783120067478e-15	1
GO:0006955	6.45782896580971e-18	1	108	1239	immune response	BP	7.73271203414331e-15	1
GO:0006950	1.10107083642269e-17	1	168	2540	response to stress	BP	1.21702206527366e-14	1
GO:0071310	1.27191506062308e-17	1	131	1756	cellular response to organic substance	BP	1.30543910757808e-14	1
GO:0016032	1.79645647638554e-17	1	81	779	viral process	BP	1.72088554061226e-14	1
GO:0044403	2.0957717823599e-17	1	83	812	symbiotic process	BP	1.88213404629559e-14	1
GO:0050896	4.91829817666791e-17	1	258	5013	response to stimulus	BP	4.15711920591419e-14	1
GO:0070887	6.91617552915847e-17	1	146	2108	cellular response to chemical stimulus	BP	5.52102923213767e-14	1
GO:0002376	7.79943054818513e-17	1	137	1887	immune system process	BP	5.89842197615117e-14	1
GO:0006612	8.62292892279967e-17	1	37	166	protein targeting to membrane	BP	6.19514328458543e-14	1
GO:0042221	2.02276676236099e-16	1	169	2667	response to chemical	BP	1.38405407658881e-13	1
